"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка полного обновления данных брони по id (с токеном авторизиции)","106","test_update_booking","tests","2026-06-04","passed","2026-06-04","","test_booking","",""
"Проверка удаления брони (с токеном авторизиции)","230","test_delete_booking","tests","2026-06-04","passed","2026-06-04","","test_booking","",""
"Проверка работоспособности для подтверждения того, что API запущен и работает","146","test_health_check","tests","2026-06-04","passed","2026-06-04","","test_booking","",""
"Проверка полного обновления данных брони по id (без токена авторизиции)","117","test_update_booking_without_auth","tests","2026-06-04","passed","2026-06-04","","test_booking","",""
"Проверка получения списка id броней","138","test_get_booking_ids","tests","2026-06-04","passed","2026-06-04","","test_booking","",""
"Проверка частичного обновления данных брони по id (с токеном авторизиции)","97","test_partial_update_booking","tests","2026-06-04","passed","2026-06-04","","test_booking","",""
"Проверка создания брони с подстановкой невалидных данных (Data-Driven тест)","113","test_booking_invalid_payload_ddt[price_negative]","tests","2026-06-04","failed","2026-06-04","","test_booking","",""
"Проверка создания брони с подстановкой невалидных данных (Data-Driven тест)","177","test_booking_invalid_payload_ddt[price_string]","tests","2026-06-04","failed","2026-06-04","","test_booking","",""
"Проверка получения списка id броней при определенных параметрах","122","test_get_booking_ids_query_parameters","tests","2026-06-04","passed","2026-06-04","","test_booking","",""
"Проверка создания брони с подстановкой невалидных данных (Data-Driven тест)","96","test_booking_invalid_payload_ddt[firstname_null]","tests","2026-06-04","failed","2026-06-04","","test_booking","",""
"Проверка создания брони с подстановкой невалидных данных (Data-Driven тест)","123","test_booking_invalid_payload_ddt[deposit_string]","tests","2026-06-04","failed","2026-06-04","","test_booking","",""
"Проверка создания брони с подстановкой невалидных данных (Data-Driven тест)","95","test_booking_invalid_payload_ddt[firstname_int]","tests","2026-06-04","failed","2026-06-04","","test_booking","",""
"Проверка создания брони с подстановкой невалидных данных (Data-Driven тест)","107","test_booking_invalid_payload_ddt[date_format]","tests","2026-06-04","failed","2026-06-04","","test_booking","",""
"Проверка удаления брони (без токена авторизиции)","140","test_delete_booking_without_auth","tests","2026-06-04","passed","2026-06-04","","test_booking","",""
"Проверка создание брони с некорректными датами","133","test_create_booking_incorrect_dates","tests","2026-06-04","failed","2026-06-04","","test_booking","",""
"Проверка создание брони","122","test_create_booking","tests","2026-06-04","passed","2026-06-04","","test_booking","",""
"Проверка получения данных о брони по id","99","test_get_booking","tests","2026-06-04","passed","2026-06-04","","test_booking","",""
